name,file size,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
/tests/set-e1.sub,1665,656,328,219,164,132,110,94,82,73,66
/tests/histexp.tests,2326,682,341,228,171,138,115,98,86,76,69
/tests/exp9.sub,1462,656,328,219,164,132,110,94,82,73,66
/tests/exportfunc.right,533,13,7,7,7,7,7,7,7,7,7
/tests/trap3.sub,99,10,6,4,4,3,2,2,2,2,2
/include/posixdir.h,2305,1,1,1,1,1,1,1,1,1,1
/tests/assoc3.sub,200,656,328,219,164,132,110,94,82,73,66
/tests/tilde2.tests,751,656,328,219,164,132,110,94,82,73,66
/tests/parser.right,383,14,10,9,8,8,8,8,7,7,7
/tests/varenv4.sub,587,656,328,219,164,132,110,94,82,73,66
/tests/exec.right,1623,75,38,25,19,15,13,11,10,9,8
/examples/loadables/setpgid.c,2870,1,1,1,1,1,1,1,1,1,1
/lib/sh/zcatfd.c,1551,71,37,25,20,17,13,11,10,10,9
/tests/rhs-exp1.sub,1271,656,328,219,164,132,110,94,82,73,66
/tests/array15.sub,380,656,328,219,164,132,110,94,82,73,66
/tests/exp1.sub,426,656,328,219,164,132,110,94,82,73,66
/tests/extglob5.sub,327,656,328,219,164,132,110,94,82,73,66
/tests/unicode2.sub,857,656,328,219,164,132,110,94,82,73,66
/tests/rsh.right,938,34,17,17,17,17,17,17,17,17,17
/tests/comsub.tests,1140,656,328,219,164,132,110,94,82,73,66
/tests/redir10.sub,292,646,324,216,162,130,109,93,82,73,65
/tests/assoc5.sub,405,656,328,219,164,132,110,94,82,73,66
/lib/readline/doc/rlman.texi,2387,2,1,1,1,1,1,1,1,1,1
/tests/read1.sub,244,656,328,219,164,132,110,94,82,73,66
/test.h,1241,32,16,11,11,11,6,6,6,6,6
/tests/casemod.right,1500,52,26,18,13,11,9,8,7,6,6
/lib/readline/doc/rluserman.texi,2046,2,1,1,1,1,1,1,1,1,1
/tests/posixexp2.sub,996,656,328,219,164,132,110,94,82,73,66
/tests/dollar-at5.sub,1291,656,328,219,164,132,110,94,82,73,66
/tests/exportfunc1.sub,200,656,328,219,164,132,110,94,82,73,66
/include/stdc.h,2652,298,149,100,75,61,50,43,38,34,31
/tests/cond.right,1299,2,1,1,1,1,1,1,1,1,1
/tests/case3.sub,852,648,325,217,163,130,109,93,82,73,65
/builtins/getopt.h,2582,67,34,23,21,19,12,11,11,10,10
/tests/run-varenv,125,118,59,40,30,24,20,17,15,14,12
/tests/printf4.sub,1218,656,328,219,164,132,110,94,82,73,66
/tests/history1.sub,164,656,328,219,164,132,110,94,82,73,66
